paragraph_id,text,sentiment
1,"The euro area economy remained resilient in 2025, despite uncertainty and trade policy shocks. Growth expectations were consistently revised up over the course of last year and the economy broadly maintained this positive momentum into the start of 2026. However, the war in the Middle East has brought renewed uncertainty and the economic outlook is clouded again. Disruptions to shipping through the Strait of Hormuz, a key route for global oil and liquefied natural gas (LNG) trade, together with attacks on energy infrastructure, have led to significant volatility in global energy markets and have pushed up oil and gas prices. The baseline staff projections are conditioned on the paths of futures prices for energy commodities at the time of the cut-off date of 11 March 2026.[1] These suggest quarterly average oil and gas prices will peak at around USD 90 per barrel and €50 per MWh respectively in the second quarter of 2026 and will then decline over the following quarters. In line with these assumptions, the baseline foresees a pick-up in inflation, which will dampen purchasing power, consumer spending and, hence, GDP growth, especially in the short term. Nevertheless, the future evolution of the conflict, its impact on energy prices, uncertainty and confidence, and the pass-through of the energy price shock to non-energy consumer prices remain highly uncertain. Therefore, the baseline projections are complemented by alternative, hypothetical scenarios which assume varying degrees of severity of the economic impact of the conflict on the euro area.",0.07123863636363637
2,"The euro area economy grew by 0.2% at the end of last year, in line with the December staff projections, and was supported by strengthening consumption and government investment. Short-term indicators suggested positive growth dynamics continued in the first two months of 2026, but the war in the Middle East has resulted in a downward revision to the short-term outlook for growth, as the shocks to energy prices and increase in uncertainty will likely lead to more subdued consumption and investment. Conditional on a relatively rapid reduction in energy prices, as is priced in by the energy commodity futures markets, and in uncertainty, this slowdown is expected to be temporary. Over the medium term, domestic demand should remain the main driver of euro area growth, bolstered by a resilient labour market and government spending on infrastructure and defence, especially in Germany. On the external side, while export growth is expected to pick up on the back of improving foreign demand, the euro area will likely experience a continued loss of global market shares, given persistent competitiveness challenges, including some that are of a structural nature, and notwithstanding the fact that tariffs on exports to the United States are somewhat lower than at the time of the December projections. The baseline projections foresee annual real GDP growth of 0.9% in 2026, 1.3% in 2027 and 1.4% in 2028. Compared with the December 2025 projections, GDP growth has been revised down by 0.3 percentage points for 2026 and by 0.1 percentage points for 2027, on account of the escalating war in the Middle East, while for 2028 it is unchanged.",0.04316919191919193
3,"Inflation, as measured by the Harmonised Index of Consumer Prices (HICP), is projected to increase sharply to 3.1% in the second quarter of 2026, driven by a surge in energy inflation as a result of the Middle East crisis, and then to decline in the third quarter to 2.8% following declines in energy commodity prices as embedded in futures prices. The baseline projections foresee energy inflation turning negative in 2027, mainly owing to downward energy base effects, and then increasing notably in 2028 when the implementation of the EU Emissions Trading System 2 (ETS2) is expected to have an upward impact of 0.2 percentage points on headline inflation. Food inflation is projected to pick up from the end of 2026, as cost pressures from the spike in energy prices feed through to consumer food prices, before easing in 2028. HICP inflation excluding energy and food (HICPX) is projected to moderate from 2.4% in 2025 to stand at 2.1% in 2028. While HICPX inflation is also affected by cost pressures stemming from higher energy prices, this is seen to be tempered by some easing in labour cost pressures, the past appreciation of the euro and import penetration from China. Overall, the baseline projections foresee HICP inflation picking up from 2.1% in 2025 to 2.6% in 2026, before declining to 2.0% in 2027 and then ticking up to 2.1% in 2028. Wage growth will moderate over the coming years, albeit at a slower pace than foreseen in previous projections on account of some inflation compensation effects related to the energy price shock. Compared with the December 2025 projections, the outlook for headline HICP inflation has been revised up by 0.7 percentage points for 2026, mainly owing to the energy component. It has been revised up by 0.2 percentage points for 2027 and by 0.1 percentage points for 2028 as cost pressures stemming from higher energy prices feed through to the HICPX and food components, while the energy component has been revised down somewhat.",-0.028194444444444446
4,"In addition to the baseline projections, staff have prepared alternative, hypothetical scenarios which differ in terms of the assumptions about the magnitude and persistence of the energy price shock, its impact on the international environment and uncertainty, and its propagation via indirect and second-round effects on inflation. These scenarios offer illustrative examples of alternative paths for energy commodity prices and their transmission to the euro area economy. The staff do not assign any probabilities to these scenarios – they serve rather to highlight the key uncertainties regarding the impact of the conflict. As is the usual convention in the staff projections, these scenarios illustrate the impacts on the euro area economy in the absence of any monetary or fiscal policy reaction beyond what is included in the baseline. The adverse scenario incorporates stronger indirect and second-round effects than the baseline, with a view to capturing possible non-linearities in the propagation of the initial energy price shock to other prices across the economy. It assumes a much sharper increase in energy prices, as well as an increase in uncertainty and in adverse international spillovers (for example, reduced foreign demand). Oil and gas prices are assumed to peak at USD 119 per barrel and €87 per MWh respectively in the second quarter of 2026, before converging to the baseline assumptions by the third quarter of 2027. Relative to the baseline, the adverse scenario implies that inflation would be 0.9 percentage points and 0.1 percentage points higher in 2026 and 2027 respectively, but 0.5 percentage points lower in 2028 owing to the disinflationary pressures stemming from the rapid normalisation of energy prices in that year. Conversely, economic growth would be lower than in the baseline in 2026 and 2027, but higher in 2028. Compared with the adverse scenario, the severe scenario assumes a stronger and more persistent energy price shock, greater uncertainty, and even stronger indirect and second-round effects. Oil prices are assumed to peak at USD 145 per barrel and gas prices at €106 per MWh in the second quarter of 2026, before declining at a much slower pace and remaining significantly above both the baseline and adverse scenario assumptions over the rest of the projection horizon. Relative to the baseline, headline inflation would be significantly and persistently higher over the projection horizon (by 1.8 percentage points in 2026, 2.8 percentage points in 2027 and 0.7 percentage points in 2028). The significant difference in inflation in 2028 between the adverse scenario (1.6%) and the severe scenario (2.8%), as shown in Table 1, highlights the key role of the evolution of the conflict, the disruptions to energy supply and the size of the propagation mechanisms triggered by the shock in determining the impact on inflation over the medium term. Economic growth would be 0.4-0.5 percentage points lower in 2026-27 and would then rise to 0.5 percentage points above the baseline in 2028. The increase in growth towards the end of the projection horizon reflects the assumed rise in income and demand resulting from the upward response of wages following the rise in inflation in the preceding years.",0.08991935483870968
5,"Finally, a set of projections based on technical assumptions with a cut-off date of 4 March (incorporating information from the first three working days after the start of the war in the Middle East) reflect a more benign outlook, with oil and gas prices assumed to peak at USD 79 per barrel and €48 per MWh respectively in the second quarter of 2026.[2] In line with those projections, inflation would be 0.3 percentage points below the final baseline in 2026 and 0.1 percentage points below in 2027 and 2028, while growth would be 0.1 percentage points higher in each year of the projection horizon.",0.1111111111111111
6,March 2026 – baseline projections and alternative scenarios,0.0
7,"Notes: Real GDP figures refer to annual averages of seasonally and working day-adjusted data. Historical data may differ from the latest Eurostat publications owing to data releases after the cut-off date for the projections. Data for the baseline projections are available for downloading, also at quarterly frequency, from the Macroeconomic Projection Database on the ECB’s website.",0.275
8,"Euro area economic activity rose by 0.2% in the fourth quarter of 2025, in line with the December projections (Chart 1). All large euro area economies posted positive growth in the fourth quarter of 2025. However, a strong contraction in Ireland – linked to the activities of multi-national enterprises – weighed on aggregate growth in the euro area as a whole. An adjusted measure of euro area GDP, which uses “modified domestic demand” instead of GDP for Ireland, rose by 0.4% in the last quarter of 2025, 0.1 percentage points more than expected in the December projections.[3] Growth in gross value added was driven by services, such as information and communication, real estate and public services, whereas manufacturing contracted again. Private consumption and government and housing investment were somewhat stronger than expected, while trade flows were weaker.",0.1565732513100934
9,"Economic growth maintained its momentum in the first two months of 2026, as implied by survey data to February, i.e. before the start of the war in the Middle East in March. The composite output Purchasing Managers’ Index (PMI) increased to 51.9 in February, driven by the manufacturing output component, which rose by 1.4 points to 51.9, while the PMI for services business activity also ticked up to 51.9. The European Commission’s Economic Sentiment Indicator edged down in February but remained above its end-2025 level, thus pointing to ongoing growth, amid increased retail and consumer confidence.",0.13680555555555557
10,"However, the war in the Middle East has triggered a downward revision to the short-term growth outlook, as the shock to energy prices and rising uncertainty are likely to hit households’ purchasing power and consumer and business confidence. The technical assumptions conditioning the projections reflect the expectation of a relatively contained conflict in the Middle East and imply that the adverse impact would be concentrated in the short term. These assumptions are subject to very high uncertainty and warrant an enhanced focus on alternative scenarios (see Section 3). The current baseline projections entail more subdued consumption and investment dynamics than previously expected for the second and third quarters of 2026. Nevertheless, rising real incomes, against a backdrop of resilient labour markets, and increasing fiscal stimulus should continue to support growth. Quarterly growth is seen to drop from 0.3% in the first quarter, which is expected to remain relatively unaffected by the war, to stand at 0.1% in the second quarter and 0.2% in the third quarter (Chart 1, panel a). Relative to the December staff projections, this implies a downward revision of 0.3 percentage points for the second quarter and one of 0.2 percentage points for the third quarter.",0.0336969696969697
